reactant , product, 43.5, 2.5
reactant , product, 41.0, 8.0
reactant , product, 31.0, 6.5
product , reactant, 50.0, 3.5
reactant , product, 53.5, 2.0
reactant , product, 66.0, 2.5
product , reactant, 56.0, 3.5
product , reactant, 67.0, 5.5
product , reactant, 59.5, 2.0
reactant , product, 66.5, 7.5
product , reactant, 55.0, 3.5
product , reactant, 42.0, 3.0
reactant , product, 57.0, 8.0
product , reactant, 50.5, 2.0
product , reactant, 66.0, 1.5
product , reactant, 63.0, 1.5
reactant , product, 37.5, 1.5
reactant , product, 45.5, 4.5
product , reactant, 44.0, 1.0
product , reactant, 65.0, 2.0
product , reactant, 38.5, 2.5
product , reactant, 50.5, 1.0
product , reactant, 66.5, 3.5
reactant , product, 73.0, 1.0
reactant , product, 50.0, 1.5
product , reactant, 50.5, 1.0
reactant , product, 54.5, 3.0
reactant , product, 67.5, 4.5
reactant , product, 55.5, 13.5
reactant , product, 60.0, 3.0
product , reactant, 49.0, 4.0
reactant , product, 56.5, 1.5
reactant , product, 77.0, 1.5
reactant , product, 48.0, 3.0
reactant , product, 58.5, 2.5
reactant , product, 32.5, 1.0
reactant , product, 52.5, 15.0
product , reactant, 46.5, 0.0
reactant , product, 48.0, 1.5
product , reactant, 40.0, 3.0
product , reactant, 44.0, 0.0
product , reactant, 82.5, 3.5
product , reactant, 56.5, 0.5
product , reactant, 50.0, 3.0
reactant , product, 53.0, 2.5
reactant , product, 57.5, 0.5
reactant , product, 58.0, 10.5
reactant , product, 53.0, 8.0
product , reactant, 39.0, 0.0
reactant , product, 40.5, 2.5
product , reactant, 40.0, 3.0
reactant , product, 45.0, 3.5
product , reactant, 54.5, 2.5
reactant , product, 61.0, 2.5
product , reactant, 32.5, 2.0
reactant , product, 50.0, 0.5
reactant , product, 54.0, 8.0
reactant , reactant, 93.5, None
reactant , product, 52.0, 3.5
product , product, 81.0, None
product , reactant, 39.0, 2.0
reactant , product, 61.5, 13.0
product , reactant, 47.0, 0.5
reactant , product, 42.0, 1.0
product , reactant, 38.0, 8.5
product , reactant, 44.5, 4.5
product , reactant, 42.5, 1.5
reactant , product, 53.5, 0.5
reactant , product, 57.5, 8.0
product , reactant, 61.5, 0.0
reactant , product, 40.0, 3.0
product , reactant, 84.5, 1.5
reactant , product, 45.5, 1.5
reactant , product, 43.0, 1.5
product , reactant, 92.0, 6.5
product , reactant, 55.5, 3.0
product , reactant, 40.0, 1.5
product , reactant, 37.5, 1.0
reactant , product, 48.5, 3.0
